RULES: ('WEEK_49',) => ('DENGUE_HIGH',) : 0.7222
RULES: ('POLS_STABLE', 'SOI_LA NINA', 'SSTA_HOT') => ('DENGUE_LOW',) : 0.7895
RULES: ('POV_NORMAL', 'RAINFALL_LARGE', 'TWIND_WEAK') => ('DENGUE_LOW',) : 0.7333
RULES: ('SSTA_COLD', 'POPD_HIGHLY DENSE', 'POLS_UNSTABLE') => ('DENGUE_LOW',) : 0.7778
RULES: ('TDIST_DIRECT HIT', 'NDVI_GREENER', 'SOI_EL NINO') => ('TWIND_STRONG',) : 0.8333
RULES: ('POPD_HIGHLY DENSE', 'SOI_HIGH', 'TEMPN_WARM') => ('DENGUE_HIGH',) : 0.7059
RULES: ('ALT_TALL', 'TEMPS_COLD', 'POPD_LOWLY DENSE') => ('DENGUE_HIGH',) : 0.7333
RULES: ('EVI_DENSER', 'TEMPN_HOT', 'SSTA_HOT') => ('DENGUE_LOW',) : 0.7059
RULES: ('SOI_LOW', 'POV_POOR', 'TEMPN_COLD') => ('DENGUE_HIGH',) : 0.7222
RULES: ('NDVI_GREEN', 'POLS_UNSTABLE', 'TEMPN_WARM') => ('DENGUE_HIGH',) : 0.7333
RULES: ('TWIND_STRONG', 'POLS_VERY STABLE', 'SOI_HIGH') => ('NDVI_GREEN',) : 0.75
RULES: ('RAINFALL_VERY LARGE', 'TEMPS_WARM', 'TDIST_NEAR') => ('DENGUE_LOW',) : 0.7273
RULES: ('TWIND_MODERATELY STRONG', 'POLS_VERY STABLE', 'POV_MILDLY NORMAL') => ('DENGUE_LOW',) : 0.8182
RULES: ('TDIST_MIDDLING FAR', 'TEMPS_HOT', 'NDVI_GREENEST') => ('DENGUE_LOW',) : 0.7857
RULES: ('TWIND_STRONG', 'POV_POOR', 'ALT_LOW') => ('DENGUE_HIGH',) : 0.7059
RULES: ('POV_MILDLY POOR', 'TEMPN_HOT', 'POLS_STABLE') => ('DENGUE_LOW',) : 0.7273
RULES: ('TEMPS_NORMAL', 'POLS_STABLE', 'TDIST_FAR') => ('DENGUE_LOW',) : 0.75
RULES: ('POPD_DENSE', 'NDVI_GREENER', 'SSTA_HOT') => ('DENGUE_LOW',) : 0.75
RULES: ('POLS_VERY UNSTABLE', 'TEMPS_HOT', 'POPD_LESS DENSE') => ('DENGUE_LOW',) : 0.7778
RULES: ('TEMPN_NORMAL', 'SOI_LA NINA', 'EVI_DENSE') => ('DENGUE_HIGH',) : 0.7059
RULES: ('SSTA_NORMAL', 'POPD_DENSE', 'SOI_EL NINO') => ('TWIND_WEAK',) : 0.7143
RULES: ('TWIND_STRONG', 'POPD_LESS DENSE', 'POLS_UNSTABLE') => ('POV_POOR',) : 0.7273
RULES: ('TWIND_STRONG', 'NDVI_LESS GREEN', 'POLS_UNSTABLE') => ('DENGUE_LOW',) : 0.7222
RULES: ('EVI_DENSEST', 'TEMPS_COLD', 'TWIND_MODERATELY WEAK') => ('DENGUE_LOW',) : 0.8
RULES: ('POLS_VERY UNSTABLE', 'POV_MILDLY POOR', 'NDVI_GREEN') => ('DENGUE_HIGH',) : 0.7059
RULES: ('TEMPN_NORMAL', 'EVI_DENSEST', 'TEMPS_WARM') => ('DENGUE_HIGH',) : 0.8889
RULES: ('RAINFALL_MEDIUM', 'ALT_HIGH', 'TDIST_NEAR') => ('DENGUE_LOW',) : 0.8
RULES: ('POPD_LESS DENSE', 'POLS_VERY STABLE', 'TEMPN_COLD') => ('DENGUE_LOW',) : 0.7692
RULES: ('POLS_STABLE', 'TDIST_DIRECT HIT', 'TEMPN_COLD') => ('DENGUE_LOW',) : 0.7692
RULES: ('TEMPS_HOT', 'ALT_HIGH', 'SOI_EL NINO') => ('TDIST_FAR',) : 0.7895
RULES: ('POV_NORMAL', 'POPD_LOWLY DENSE', 'TEMPN_WARM') => ('DENGUE_HIGH',) : 0.7647
